Ticker,Name,YahooSymbol,MarketCap,MarketCapSource,Currency,RegularMarketPrice,SharesOutstanding,QuoteType,Exchange,LongName,ShortName,Status,TimestampUTC
^SET.BK,^SET.BK,^SET.BK,"20,073,943,730,000,000",,THB,1588.06,,INDEX,SET,SET_SET Index,SET_SET Index,NO_MARKET_CAP_RETURNED,2026-06-03T11:01:43.560989+00:00
24CS.BK,24CS.BK,24CS.BK,,,,,485000000,,,,,NO_MARKET_CAP_RETURNED,2026-06-03T11:01:46.498957+00:00
2S.BK,2S.BK,2S.BK,1693987584,yfinance.info.marketCap,THB,3.08,549995954,EQUITY,SET,2S Metal Public Company Limited,2S_2S METAL,OK,2026-06-03T11:01:49.924040+00:00
3BBIF.BK,3BBIF.BK,3BBIF.BK,,,THB,6.5,,EQUITY,SET,3BB Internet Infrastructure Fund,3BBIF_3BB INTERNET,NO_MARKET_CAP_RETURNED,2026-06-03T11:01:52.098855+00:00
A.BK,A.BK,A.BK,3214400000,yfinance.info.marketCap,THB,3.28,980000000,EQUITY,SET,Areeya Property Public Company Limited,A_AREEYA PROPERTY,OK,2026-06-03T11:01:54.391930+00:00
A5.BK,A5.BK,A5.BK,2120400000,yfinance.info.marketCap,THB,1.8,1178000045,EQUITY,SET,Asset Five Group Public Company Limited,A5_ASSET FIVE GROUP,OK,2026-06-03T11:01:56.595620+00:00
AAI.BK,AAI.BK,AAI.BK,7577606656,yfinance.info.marketCap,THB,3.58,2116650000,EQUITY,SET,Asian Alliance International Public Company Limited,AAI_ASIAN ALLIANCE INTERNATIONA,OK,2026-06-03T11:01:59.309820+00:00
AAV.BK,AAV.BK,AAV.BK,13878000640,yfinance.info.marketCap,THB,1.08,12850000000,EQUITY,SET,Asia Aviation Public Company Limited,AAV_ASIA AVIATION,OK,2026-06-03T11:02:01.867721+00:00
ABM.BK,ABM.BK,ABM.BK,311454208,yfinance.info.marketCap,THB,0.45,692120446,EQUITY,SET,Asia Biomass Public Company Limited,ABM_ASIA BIOMASS,OK,2026-06-03T11:02:04.754535+00:00
ACAP.BK,ACAP.BK,ACAP.BK,134115688,yfinance.info.marketCap,THB,0.33,406411160,MUTUALFUND,SET,Asia Capital Group Public Company Limited,"ACAP.BK,0P0000AUJU,0",OK,2026-06-03T11:02:07.470391+00:00
ACC.BK,ACC.BK,ACC.BK,714526912,yfinance.info.marketCap,THB,0.38,1880333993,EQUITY,SET,Advanced Connection Corporation Public Company Limited,ACC_ADVANCED CONNECTION,OK,2026-06-03T11:02:10.007490+00:00
ACE.BK,ACE.BK,ACE.BK,12675972096,yfinance.info.marketCap,THB,1.3,9750747760,EQUITY,SET,Absolute Clean Energy Public Company Limited,ACE_ABSOLUTE CLEAN ENERGY,OK,2026-06-03T11:02:12.661936+00:00
ACG.BK,ACG.BK,ACG.BK,467999968,yfinance.info.marketCap,THB,0.78,600000000,EQUITY,SET,Autocorp Holding Public Company Limited,ACG_AUTOCORP HOLDING,OK,2026-06-03T11:02:15.661811+00:00
ADB.BK,ADB.BK,ADB.BK,479159968,yfinance.info.marketCap,THB,0.66,725999923,EQUITY,SET,Applied DB Public Company Limited,ADB_APPLIED DB,OK,2026-06-03T11:02:17.887613+00:00
ADD.BK,ADD.BK,ADD.BK,571200000,yfinance.info.marketCap,THB,3.4,168000000,EQUITY,SET,AddTech Hub Public Company Limited,ADD_ADDTECH HUB,OK,2026-06-03T11:02:20.302706+00:00
ADVANC.BK,ADVANC.BK,ADVANC.BK,1.08261E+12,yfinance.info.marketCap,THB,364,2974209736,EQUITY,SET,Advanced Info Service Public Company Limited,ADVANC_ADVANCED INFO SERVICE,OK,2026-06-03T11:02:22.993215+00:00
ADVICE.BK,ADVICE.BK,ADVICE.BK,4153999872,yfinance.info.marketCap,THB,6.7,620000000,EQUITY,SET,,ADVICE_ADVICE IT INFINITE,OK,2026-06-03T11:02:25.486036+00:00
AE.BK,AE.BK,AE.BK,257153584,yfinance.info.marketCap,THB,0.1,2571535907,EQUITY,SET,All Energy & Utilities Public Company Limited,AE_ALL ENERGY & UTILITIES,OK,2026-06-03T11:02:28.383842+00:00
AEONTS.BK,AEONTS.BK,AEONTS.BK," 23,293,888,512.00 ",yfinance.info.marketCap,THB,94.25,247150000,EQUITY,SET,AEON Thana Sinsap (Thailand) Public Company Limited,AEONTS_AEON THANA SINSAP,OK,2026-06-03T11:02:31.098386+00:00
AF.BK,AF.BK,AF.BK,576000000,yfinance.info.marketCap,THB,0.36,1600000000,EQUITY,SET,AIRA Factoring Public Company Limited,AF_AIRA FACTORING,OK,2026-06-03T11:02:34.171164+00:00
AFC.BK,AFC.BK,AFC.BK,175916656,yfinance.info.marketCap,THB,3.86,45574266,EQUITY,SET,Asia Fiber Public Company Limited,AFC_ASIA FIBER,OK,2026-06-03T11:02:36.345957+00:00
AGE.BK,AGE.BK,AGE.BK,1483688960,yfinance.info.marketCap,THB,1.24,1196523435,EQUITY,SET,Asia Green Energy Public Company Limited,AGE_ASIA GREEN ENERGY,OK,2026-06-03T11:02:38.867862+00:00
AH.BK,AH.BK,AH.BK,4806050304,yfinance.info.marketCap,THB,14.3,336087412,EQUITY,SET,AAPICO Hitech Public Company Limited,AH_AAPICO HITECH,OK,2026-06-03T11:02:41.006678+00:00
AHC.BK,AHC.BK,AHC.BK,1873865856,yfinance.info.marketCap,THB,12.5,149909264,EQUITY,SET,Aikchol Hospital Public Company Limited,AHC_AIKCHOL HOSPITAL,OK,2026-06-03T11:02:43.939195+00:00
AI.BK,AI.BK,AI.BK,2029997312,yfinance.info.marketCap,THB,2.9,699999021,EQUITY,SET,Asian Insulators Public Company Limited,AI_ASIAN INSULATORS,OK,2026-06-03T11:02:46.387828+00:00
AIE.BK,AIE.BK,AIE.BK,1660816768,yfinance.info.marketCap,THB,1.2,1384014009,EQUITY,SET,AI Energy Public Company Limited,AIE_AI ENERGY,OK,2026-06-03T11:02:49.280597+00:00
AIMCG.BK,AIMCG.BK,AIMCG.BK,383040000,yfinance.info.marketCap,THB,1.33,288000000,EQUITY,SET,AIM Commercial Growth Freehold And Leasehold Real Estate Investment Trust,AIMCG_AIM COMMERCIAL GROWTH,OK,2026-06-03T11:02:51.612629+00:00
AIMIRT.BK,AIMIRT.BK,AIMIRT.BK,9023100928,yfinance.info.marketCap,THB,11.4,791500104,EQUITY,SET,AIM Industrial Growth Freehold and Leasehold Real Estate Investment Trust,AIMIRT_AIM INDUSTRIAL GROWTH,OK,2026-06-03T11:02:54.586767+00:00
AIRA.BK,AIRA.BK,AIRA.BK,6883217920,yfinance.info.marketCap,THB,1.09,6314878533,EQUITY,SET,AIRA Capital Public Company Limited,AIRA_AIRA CAPITAL,OK,2026-06-03T11:02:57.485575+00:00
AIT.BK,AIT.BK,AIT.BK,7251881472,yfinance.info.marketCap,THB,4.72,1536415572,EQUITY,SET,Advanced Information Technology Public Company Limited,AIT_ADVANCED INFORMATION,OK,2026-06-03T11:03:00.047119+00:00
AJ.BK,AJ.BK,AJ.BK,1813354496,yfinance.info.marketCap,THB,3.04,596498177,EQUITY,SET,A.J. Plast Public Company Limited,AJ_A.J. PLAST,OK,2026-06-03T11:03:02.875227+00:00
AJA.BK,AJA.BK,AJA.BK,861481920,yfinance.info.marketCap,THB,0.15,5743212607,EQUITY,SET,AJ Advance Technology Public Company Limited,AJA_AJ ADVANCE TECHNOLOGY,OK,2026-06-03T11:03:05.148802+00:00
AKP.BK,AKP.BK,AKP.BK,294920000,yfinance.info.marketCap,THB,0.73,404000000,EQUITY,SET,Akkhie Prakarn Public Company Limited,AKP_AKKHIE PRAKARN,OK,2026-06-03T11:03:07.618841+00:00
AKR.BK,AKR.BK,AKR.BK,1295270016,yfinance.info.marketCap,THB,0.88,1471897693,EQUITY,SET,Ekarat Engineering Public Company Limited,AKR_EKARAT ENGINEERING,OK,2026-06-03T11:03:10.687612+00:00
AKS.BK,AKS.BK,AKS.BK,122198992,yfinance.info.marketCap,THB,0.03,4073299779,EQUITY,SET,AKS Corporation Public Company Limited,AKS_AKS CORPORATION,OK,2026-06-03T11:03:13.134331+00:00
ALLA.BK,ALLA.BK,ALLA.BK,702000000,yfinance.info.marketCap,THB,1.17,600000000,EQUITY,SET,Alla Public Company Limited,ALLA_ALLA,OK,2026-06-03T11:03:15.719229+00:00
ALLY.BK,ALLY.BK,ALLY.BK,4125751552,yfinance.info.marketCap,THB,4.72,874100000,EQUITY,SET,Ally Freehold And Leasehold Real Estate Investment Trust,ALLY_ALLY FREEHOLD AND LEASEHOL,OK,2026-06-03T11:03:18.102101+00:00
ALPHAX.BK,ALPHAX.BK,ALPHAX.BK,2601864704,yfinance.info.marketCap,THB,0.28,9292374138,EQUITY,SET,Alpha Divisions Public Company Limited,ALPHAX_ALPHA DIVISIONS,OK,2026-06-03T11:03:21.105723+00:00
ALT.BK,ALT.BK,ALT.BK,1748892288,yfinance.info.marketCap,THB,1.57,1113944019,EQUITY,SET,ALT Telecom Public Company Limited,ALT_ALT TELECOM,OK,2026-06-03T11:03:24.032111+00:00
ALUCON.BK,ALUCON.BK,ALUCON.BK,10281595904,yfinance.info.marketCap,THB,238,43199986,EQUITY,SET,Alucon Public Company Limited,ALUCON_ALUCON,OK,2026-06-03T11:03:26.469890+00:00
AMA.BK,AMA.BK,AMA.BK,1968083712,yfinance.info.marketCap,THB,3.8,517916773,EQUITY,SET,Ama Marine Public Company Limited,AMA_AMA MARINE,OK,2026-06-03T11:03:29.188828+00:00
