Stock,Ticker,Type,Model,MAPE (%),Gross Return (%),Round-Trip Cost (%),Net Return (%),Signal Viable
3BBIF,3BBIF.BK,Stock,CNN,1.01,0.718,0.34,0.378,Yes
CIG,CIG.BK,Stock,Random Forest,12.28,-2.333,0.34,-2.673,No
DV8,DV8.BK,Stock,LSTM,7.51,-21.734,0.34,-22.074,No
F&D,F&D.BK,Stock,XGBoost,0.17,-0.019,0.34,-0.359,No
KYE,KYE.BK,Stock,ARIMA,1.56,-0.074,0.34,-0.414,No
MCS,MCS.BK,Stock,RNN,1.77,-3.662,0.34,-4.002,No
NATION,NATION.BK,Stock,ARIMA,19.19,27.327,0.34,26.987,Yes
PT,PT.BK,Stock,ARIMA,2.57,0.06,0.34,-0.28,No
S11,S11.BK,Stock,CNN,2.63,-1.555,0.34,-1.895,No
SET,^SET.BK,Index,RNN,0.67,0.435,0.34,0.095,Yes
TFG,TFG.BK,Stock,Random Forest,2.91,7.048,0.34,6.708,Yes
TLHPF,TLHPF.BK,Stock,ANN,9.4,11.076,0.34,10.736,Yes
