Stock_Name,Ticker,Type,Unit,Model,Folds,MAPE (mean ± std),MAE (mean ± std),RMSE (mean ± std),MAPE_mean,MAPE_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std
3BBIF,3BBIF.BK,Stock,THB,ARIMA,7,1.78 ± 1.43,0.1036 ± 0.0811,0.1115 ± 0.0816,1.7783,1.433,0.1036,0.0811,0.1115,0.0816
3BBIF,3BBIF.BK,Stock,THB,CNN,7,1.83 ± 0.62,0.1075 ± 0.0356,0.1167 ± 0.0347,1.8281,0.6155,0.1075,0.0356,0.1167,0.0347
3BBIF,3BBIF.BK,Stock,THB,LSTM,7,1.88 ± 0.8,0.1107 ± 0.0471,0.1183 ± 0.047,1.88,0.8002,0.1107,0.0471,0.1183,0.047
3BBIF,3BBIF.BK,Stock,THB,RNN,7,1.9 ± 0.59,0.1119 ± 0.0342,0.1228 ± 0.0374,1.9026,0.5891,0.1119,0.0342,0.1228,0.0374
3BBIF,3BBIF.BK,Stock,THB,Random Forest,7,2.07 ± 1.24,0.1214 ± 0.0718,0.1305 ± 0.0687,2.0721,1.2419,0.1214,0.0718,0.1305,0.0687
3BBIF,3BBIF.BK,Stock,THB,XGBoost,7,2.54 ± 1.81,0.1484 ± 0.1021,0.1632 ± 0.0988,2.5405,1.8052,0.1484,0.1021,0.1632,0.0988
3BBIF,3BBIF.BK,Stock,THB,ANN,7,18.7 ± 2.72,1.1005 ± 0.1606,1.1243 ± 0.1619,18.7029,2.7152,1.1005,0.1606,1.1243,0.1619
CIG,CIG.BK,Stock,THB,Random Forest,7,15.69 ± 7.04,0.0062 ± 0.0037,0.0074 ± 0.0037,15.6915,7.0433,0.0062,0.0037,0.0074,0.0037
CIG,CIG.BK,Stock,THB,CNN,7,16.0 ± 2.88,0.0062 ± 0.0021,0.0069 ± 0.0027,15.9966,2.8839,0.0062,0.0021,0.0069,0.0027
CIG,CIG.BK,Stock,THB,ARIMA,7,16.24 ± 2.8,0.0064 ± 0.0024,0.0073 ± 0.0028,16.2395,2.7999,0.0064,0.0024,0.0073,0.0028
CIG,CIG.BK,Stock,THB,LSTM,7,17.05 ± 4.12,0.0067 ± 0.0029,0.0075 ± 0.0033,17.0469,4.1172,0.0067,0.0029,0.0075,0.0033
CIG,CIG.BK,Stock,THB,XGBoost,7,17.07 ± 7.34,0.0067 ± 0.0037,0.0082 ± 0.0042,17.0657,7.34,0.0067,0.0037,0.0082,0.0042
CIG,CIG.BK,Stock,THB,RNN,7,17.61 ± 5.64,0.0068 ± 0.0025,0.0084 ± 0.0031,17.6134,5.6371,0.0068,0.0025,0.0084,0.0031
CIG,CIG.BK,Stock,THB,ANN,7,79.11 ± 20.91,0.0287 ± 0.0054,0.0294 ± 0.0048,79.1104,20.9132,0.0287,0.0054,0.0294,0.0048
DV8,DV8.BK,Stock,THB,XGBoost,7,20.16 ± 18.99,0.3925 ± 0.4468,0.4716 ± 0.5273,20.1649,18.9938,0.3925,0.4468,0.4716,0.5273
DV8,DV8.BK,Stock,THB,Random Forest,7,20.21 ± 18.9,0.4049 ± 0.4596,0.4829 ± 0.5373,20.2078,18.8983,0.4049,0.4596,0.4829,0.5373
DV8,DV8.BK,Stock,THB,ARIMA,7,21.24 ± 17.86,0.4776 ± 0.5053,0.5603 ± 0.5786,21.2394,17.8601,0.4776,0.5053,0.5603,0.5786
DV8,DV8.BK,Stock,THB,RNN,7,21.41 ± 19.24,0.4479 ± 0.4791,0.5256 ± 0.5479,21.4143,19.2419,0.4479,0.4791,0.5256,0.5479
DV8,DV8.BK,Stock,THB,LSTM,7,31.81 ± 41.43,0.8658 ± 1.5755,0.93 ± 1.6625,31.8143,41.4304,0.8658,1.5755,0.93,1.6625
DV8,DV8.BK,Stock,THB,CNN,7,43.72 ± 48.67,1.3916 ± 1.9547,1.5729 ± 2.2359,43.719,48.6711,1.3916,1.9547,1.5729,2.2359
DV8,DV8.BK,Stock,THB,ANN,7,43.96 ± 33.8,1.2175 ± 1.4,1.3651 ± 1.5372,43.9589,33.8016,1.2175,1.4,1.3651,1.5372
F&D,F&D.BK,Stock,THB,ARIMA,4,2.64 ± 4.51,1.565 ± 2.6711,1.5941 ± 2.6633,2.6423,4.5143,1.565,2.6711,1.5941,2.6633
