Ticker,Composite_Z,Classification,Name,Company Name,Industry,SET ESG Ratings 
24CS.BK,-0.1621956158411757,Exit Point,24CS,,,
2S.BK,-0.1825969221629977,Exit Point,2S,,,
3BBIF.BK,1.773522862983183,Weight Increase,3BBIF,,,
A.BK,0.2912475954357459,Neutral,A,,,
A5.BK,-0.0579940367783018,Neutral,A5,,,
AAI.BK,-0.0520769205366288,Neutral,AAI,,,
AAV.BK,-0.748679915346951,Exit Point,AAV,,,
ABM.BK,-0.2675976592403196,Exit Point,ABM,,,
ACAP.BK,0.0226114715640208,Neutral,ACAP,,,
ACC.BK,-0.3154173477359857,Exit Point,ACC,,,
ACE.BK,0.3026511988945101,Neutral,ACE,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED,Resources,AAA
ACG.BK,-0.0767934768602422,Neutral,ACG,,,
ADB.BK,-0.1739888847600233,Exit Point,ADB,APPLIED DB PUBLIC COMPANY LIMITED,Industrials,AA
ADD.BK,-0.973205757947084,Exit Point,ADD,,,
ADVANC.BK,0.3376238577458753,Neutral,ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,Technology,AA
ADVICE.BK,0.0339743660932793,Neutral,ADVICE,,,
AE.BK,0.1621679160392012,Neutral,AE,,,
AEONTS.BK,-0.0699447336953387,Neutral,AEONTS,,,
AF.BK,-4.296141271473293,Neural Ejection,AF,,,
AFC.BK,-0.015001766708826,Neutral,AFC,,,
AGE.BK,-0.4824776283418132,Exit Point,AGE,,,
AH.BK,-0.071106177725324,Neutral,AH,AAPICO HITECH PUBLIC COMPANY LIMITED,Industrials,A
AHC.BK,-0.2958244127140604,Exit Point,AHC,,,
AI.BK,-0.1001725394315065,Exit Point,AI,,,
AIE.BK,0.5510038794856655,Neutral,AIE,,,
AIMCG.BK,-1.4741811419163526,Exit Point,AIMCG,,,
AIMIRT.BK,-0.2344273490413032,Exit Point,AIMIRT,,,
AIRA.BK,0.3032902966779007,Neutral,AIRA,,,
AIT.BK,0.4799278536714934,Neutral,AIT,,,
AJ.BK,0.1579711844026205,Neutral,AJ,A.J. PLAST PUBLIC COMPANY LIMITED,Industrials,AAA
AJA.BK,-1.2420821891359128,Exit Point,AJA,,,
AKP.BK,0.3707893454879954,Neutral,AKP,AKKHIE PRAKARN PUBLIC COMPANY LIMITED,Services,AA
AKR.BK,0.1093642162876807,Neutral,AKR,EKARAT ENGINEERING PUBLIC COMPANY LIMITED,Industrials,BBB
AKS.BK,0.342565147323333,Neutral,AKS,,,
ALLA.BK,-0.1030957497668414,Exit Point,ALLA,ALLA PUBLIC COMPANY LIMITED,Industrials,A
ALLY.BK,-0.2500373266828756,Exit Point,ALLY,,,
ALPHAX.BK,-0.0809245348225968,Neutral,ALPHAX,,,
ALT.BK,0.3928804306587873,Neutral,ALT,,,
ALUCON.BK,0.3008025315321685,Neutral,ALUCON,,,
AMA.BK,0.1826488258175164,Neutral,AMA,,,
AMANAH.BK,0.3611418845536434,Neutral,AMANAH,,,
AMARC.BK,1.197115929968565,Weight Increase,AMARC,,,
AMARIN.BK,-0.5903110581938676,Exit Point,AMARIN,,,
AMATA.BK,-0.2370854086681309,Exit Point,AMATA,AMATA CORPORATION PUBLIC COMPANY LIMITED,Property & Construction,AAA
AMATAR.BK,-0.1675769861158528,Exit Point,AMATAR,,,
AMATAV.BK,-2.467913657709878,Dump,AMATAV,AMATA VN PUBLIC COMPANY LIMITED,Property & Construction,AA
AMC.BK,0.5910873605665522,Neutral,AMC,,,
AMR.BK,-0.2556303873042893,Exit Point,AMR,,,
ANAN.BK,0.1169284550261955,Neutral,ANAN,,,
ANI.BK,0.4367161512977275,Neutral,ANI,,,
AOT.BK,-0.6458916174280238,Exit Point,AOT,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED,Services,A
AP.BK,-0.0497361837244328,Neutral,AP,AP (THAILAND) PUBLIC COMPANY LIMITED,Property & Construction,AA
APCO.BK,-0.296466619913955,Exit Point,APCO,,,
APCS.BK,0.1196776083332839,Neutral,APCS,,,
APO.BK,-0.7650195878876144,Exit Point,APO,,,
APP.BK,0.83873062966001,Neutral,APP,,,
APURE.BK,-0.4694552094351438,Exit Point,APURE,,,
AQUA.BK,-0.0667707769950599,Neutral,AQUA,,,
